e, e_dot, e_int, stamp, 
0.7603445478399967, 4.5755534659051466e-12, 0.07557826554318638, 1729806840014997431, 
0.7603445478403378, 4.488224705758671e-12, 0.07704249297346676, 1729806840066039318, 
0.7603445478406788, 4.5029278262342125e-12, 0.07679546159197527, 1729806840115998302, 
0.7603445478411336, 4.812697165896268e-12, 0.08341396130521515, 1729806840175744795, 
0.7603687078286947, 0.00016483102013406265, 0.08257777946410934, 1729806840224602888, 
0.7565352530518534, -0.02488881914192299, 0.07580305197046804, 1729806840275606165, 
0.7503556381253585, -0.07788002019716596, 0.06801516021630195, 1729806840314599411, 
0.7403995971988793, -0.11776604710131237, 0.06749159652911126, 1729806840365703458, 
0.7123238202529169, -0.1590854228307591, 0.11052804514917063, 1729806840465108824, 
0.6669495268029936, -0.23232946451969524, 0.14757120149852604, 1729806840574562851, 
0.6165775863846292, -0.30437041870615067, 0.1400348012255475, 1729806840675597692, 
0.5108597383723522, -0.552989342782168, 0.11492382605035764, 1729806840766701730, 
0.4435712226758495, -0.5919346994542509, 0.1049673670767361, 1729806840876043515, 
0.3781126570278016, -0.4262112423766196, 0.09240625437044224, 1729806840974739020, 
0.314717486554299, -0.4303849918658997, 0.07562997502142907, 1729806841075700020, 
0.2612049947821937, -0.40745230165816587, 0.06073475621065683, 1729806841165721785, 
0.2029319059573016, -0.37431432925131597, 0.05199692095017508, 1729806841275982339, 
0.16373432265396526, -0.3073151178605544, 0.04392753255444442, 1729806841375609725, 
0.051474391629052096, -0.5053307024201587, 0.027824715424501337, 1729806841475614095, 
0.037256517008428025, -0.42677245847161666, 0.01599987858678375, 1729806841565733472, 
0.019029969684597137, -0.11335154352908101, 0.006828709443436032, 1729806841665721383, 
0.00035953641589991925, -0.11781391901505049, 0.003947724284192663, 1729806841774806805, 
-0.010601377540472745, -0.09365764168794939, 0.0006119309194937229, 1729806841874616001, 
-0.10208975735825898, -0.36766443671213084, -0.00718646302695997, 1729806841966733114, 
-0.10621370195995927, -0.34517307124219393, -0.01382801788159639, 1729806842064123251, 
-0.0885562472133411, 0.038673970460356505, -0.020670099227225184, 1729806842175620667, 
-0.0781127255028563, 0.08831305196997404, -0.019055560265514585, 1729806842273615044, 
-0.07994262518433581, 0.028832653291936756, -0.015548769590318066, 1729806842364769552, 
-0.08183798084261096, -0.013097436911297772, -0.01517569229472615, 1729806842463395546, 
-0.1564919837348483, -0.22778156403015648, -0.022388907287602167, 1729806842575804759, 
-0.13461511108216706, -0.14606053549796613, -0.026010792370122496, 1729806842672628439, 
-0.11407817975217904, 0.1487534754582295, -0.02566712585649767, 1729806842765844680, 
-0.11430376942622777, 0.07265946806524747, -0.022961338996106948, 1729806842862393108, 
-0.12166493842610127, -0.02244646083436261, -0.02447903986847911, 1729806842975636917, 
-0.18533847532387138, -0.23960463173924562, -0.02958027126277916, 1729806843073025201, 
-0.18310837712440364, -0.20992872520414854, -0.031075180155411893, 1729806843165849726, 
-0.1623672306994508, 0.07706600937110562, -0.03413834486089916, 1729806843265964759, 
-0.1492903729590238, 0.10893476650655472, -0.03453876146127781, 1729806843375274562, 
-0.1548300377060644, 0.020791329174379408, -0.03204154285839018, 1729806843472025156, 
-0.2065844930403477, -0.20255570694691913, -0.03247734495281819, 1729806843566054079, 
-0.200260549878106, -0.16224317411284545, -0.036197412685884695, 1729806843665361556, 
-0.17413241765024162, 0.10019018603171964, -0.040591712880802475, 1729806843775657974, 
-0.15353688325061848, 0.15122667056132458, -0.03612777103732514, 1729806843870660258, 
-0.14903637284088855, 0.08805346620541436, -0.030192768161145214, 1729806843965666840, 
-0.18680418474025073, -0.10981339758726749, -0.031848158747336784, 1729806844065897039, 
-0.17967280560592813, -0.10394385029114607, -0.036082313426204965, 1729806844175645762, 
-0.15581878203588823, 0.10038586438099922, -0.036691056556432726, 1729806844276645767, 
-0.13466611019704772, 0.1579005003941607, -0.0297853112101517, 1729806844365701001, 
-0.1317871538380238, 0.08878379325358786, -0.02659199120196889, 1729806844465566569, 
-0.15863665648810926, -0.07169247694609539, -0.029748789474075818, 1729806844575648036, 
