x, y, th, ts, 
-3.2007807021727785e-05, 3.68671644537244e-05, -0.0003685982300735359, 1732834187129652962, 
-3.2069903681986034e-05, 3.693871622090228e-05, -0.0003693136181836942, 1732834187172559943, 
-3.2256197300739586e-05, 3.715337152243592e-05, -0.00037145938966424877, 1732834187239521304, 
-3.235969415982254e-05, 3.7272624467732385e-05, -0.00037265148344672085, 1732834187289046090, 
-3.244249091949314e-05, 3.736802682396956e-05, -0.0003736051738994106, 1732834187319186694, 
-3.254598777857609e-05, 3.7487279769266024e-05, -0.0003747971794114933, 1732834187382513565, 
-3.260808443883434e-05, 3.7558831536443904e-05, -0.0003755123652568662, 1732834187432323530, 
-3.2794374419609085e-05, 3.7773486837977543e-05, -0.00037765819960741123, 1732834187479051077, 
-3.289786764071323e-05, 3.789273978327401e-05, -0.00037885031752698774, 1732834187529599340, 
-3.295996430097148e-05, 3.796429155045189e-05, -0.0003795656576974861, 1732834187572124255, 
-3.3146254281746224e-05, 3.817894685198553e-05, -0.0003817114711686796, 1732834187638894981, 
-3.324974750285037e-05, 3.8298199797281995e-05, -0.000382903613508135, 1732834187689696109, 
-3.331184416310862e-05, 3.8369751564459875e-05, -0.0003836187552197109, 1732834187732722918, 
-3.3436037483625114e-05, 3.851285873679444e-05, -0.00038504926568057627, 1732834187781987713, 
-3.368442412465811e-05, 3.879906944348477e-05, -0.00038791046489686584, 1732834187879234758, 
-3.38500140060205e-05, 3.898987779393792e-05, -0.0003898179904764122, 1732834187971906018, 
-3.4036303986795247e-05, 3.920453673345037e-05, -0.0003919639007446764, 1732834188072461459, 
-3.432608355069533e-05, 3.9538455894216895e-05, -0.0003953017636910477, 1732834188182389132, 
-3.4574466553749517e-05, 3.9824673876864836e-05, -0.0003981629731503262, 1732834188279236837, 
-3.4760752896545455e-05, 4.003933645435609e-05, -0.00040030883197910154, 1732834188372174686, 
-3.494703923934139e-05, 4.025399903184734e-05, -0.00040245442084144736, 1732834188473219562, 
-3.5236818803241476e-05, 4.058791819261387e-05, -0.0004057920454505667, 1732834188582143157, 
-3.548520180629566e-05, 4.087413617526181e-05, -0.00040865305444423, 1732834188679273953, 
-3.5671484511112794e-05, 4.1088798752753064e-05, -0.000410798753894309, 1732834188772225503, 
-3.5857767215929925e-05, 4.130346133024432e-05, -0.00041294449742812787, 1732834188872106214, 
-3.6147539503872395e-05, 4.1637380491010845e-05, -0.0004162824050502683, 1732834188982072084, 
-3.639591523096897e-05, 4.192360211163759e-05, -0.00041914359253574727, 1732834189079072674, 
-3.65821979357861e-05, 4.213826832710765e-05, -0.0004212894371718501, 1732834189172214299, 
-3.676847700262442e-05, 4.2352934542577714e-05, -0.0004234352420239805, 1732834189272602017, 
-3.707894211402163e-05, 4.271071156836115e-05, -0.0004270115188743056, 1732834189382096035, 
-3.7327314203139395e-05, 4.2996933188987896e-05, -0.000429872496968325, 1732834189479105919, 
-3.7492896808544174e-05, 4.318774881539866e-05, -0.0004317797928381139, 1732834189572223825, 
-3.76791758753825e-05, 4.3402415030868724e-05, -0.00043392558515971175, 1732834189672879250, 
-3.796894452534616e-05, 4.373634510557167e-05, -0.0004372635547246609, 1732834189782136278, 
-3.8217316614463925e-05, 4.402256672619842e-05, -0.0004401247980372988, 1732834189879110569, 
-3.83828955818899e-05, 4.421338235260919e-05, -0.0004420322332129532, 1732834189972398922, 
-3.856917464872822e-05, 4.4428052206058055e-05, -0.0004441783324164758, 1732834190072751297, 
-3.885893602273427e-05, 4.4761982280761003e-05, -0.0004475161695124674, 1732834190182188546, 
-3.910730447387323e-05, 4.504820753936656e-05, -0.00045037698855767506, 1732834190279119223, 
-3.92728834412992e-05, 4.5239023165777326e-05, -0.0004522845793728618, 1732834190372290907, 
-3.945915887015872e-05, 4.5453693019226193e-05, -0.00045443041074090263, 1732834190472343239, 
-3.9748920244164765e-05, 4.578762673190795e-05, -0.0004577679975738611, 1732834190582289371, 
-3.9997285057324916e-05, 4.607385926647112e-05, -0.0004606291248531221, 1732834190679152850, 
-4.0183556848205626e-05, 4.628853275789879e-05, -0.0004627749599422415, 1732834190772621024, 
-4.0369828639086336e-05, 4.650320624932647e-05, -0.00046492088116043315, 1732834190872671743, 
-4.068028283654712e-05, 4.686099418904632e-05, -0.00046849716680023217, 1732834190982157265, 
-4.0928644011728466e-05, 4.714722672360949e-05, -0.0004713582800478145, 1732834191079560252, 
-4.111491216463037e-05, 4.736190021503717e-05, -0.0004735038881079278, 1732834191172069907, 
-4.1280483856098726e-05, 4.755272311740555e-05, -0.00047541100877673473, 1732834191271956090, 
-4.15909307776019e-05, 4.791051833308302e-05, -0.0004789870684630057, 1732834191382333266, 
-4.1839288314804435e-05, 4.8196754505624995e-05, -0.00048184806665143464, 1732834191479349797, 
-4.200486000627279e-05, 4.8387577407993376e-05, -0.00048375539266705685, 1732834191572791576, 
-4.2191128159174696e-05, 4.860225453739986e-05, -0.000485901033035677, 1732834191672499329, 
-4.248087861924432e-05, 4.893619552603923e-05, -0.0004892387158210741, 1732834191782192867, 
-4.272923615644686e-05, 4.922243533656001e-05, -0.0004920996928752656, 1732834191879183332, 
-4.283271846361458e-05, 4.9341702833771706e-05, -0.0004932919820330984, 1732834191929339226, 
-4.3060379539383575e-05, 4.960408841725439e-05, -0.0004959149245921455, 1732834192072062085, 
-4.33501299994532e-05, 4.9938033043872565e-05, -0.0004992528518319327, 1732834192182293539, 
-4.357778743724339e-05, 5.020041862735525e-05, -0.0005018753005894118, 1732834192280461515, 
