x, y, theta, stamp, 
1.245350915723975e-07, -1.437774130863545e-07, 1.4298712992590456e-06, 1729802952315990066, 
1.245350915723975e-07, -1.437774130863545e-07, 1.4298737090118833e-06, 1729802952365196694, 
1.245350915723975e-07, -1.437774130863545e-07, 1.429880075512062e-06, 1729802952415342596, 
1.4529098280036123e-07, -1.67740310530462e-07, 1.6682911157869896e-06, 1729802952475393308, 
1.6604687402832496e-07, -1.9170320797456952e-07, 1.9067048204887518e-06, 1729802952525855127, 
1.6604687402832496e-07, -1.9170320797456952e-07, 1.9067048204887518e-06, 1729802952575802207, 
1.868027652562887e-07, -2.1566609120782232e-07, 2.145123016801417e-06, 1729802952626845131, 
1.868027652562887e-07, -2.1566609120782232e-07, 2.1451183050335665e-06, 1729802952671872797, 
1.868027652562887e-07, -2.1566609120782232e-07, 2.145103753033703e-06, 1729802952735480842, 
1.868027652562887e-07, -2.1566609120782232e-07, 2.1451073566508127e-06, 1729802952786101974, 
1.868027652562887e-07, -2.1566609120782232e-07, 2.1451091756508143e-06, 1729802952815953473, 
-1.245348926204315e-07, 1.4377755519490165e-07, -1.4311690191252937e-06, 1729802952875468637, 
0.0025763334706425667, -9.153604332823306e-05, 0.001833206293887875, 1729802952925793942, 
0.015811609104275703, -0.00011480804096208885, 0.0009073958173235768, 1729802953025844629, 
0.04170740023255348, -0.00025436372379772365, 0.001166792794715665, 1729802953135679452, 
0.06685841083526611, -0.0002153835812350735, 0.0009188368795889344, 1729802953215863641, 
0.1023380309343338, -0.00022975252068135887, -0.0032896984397724656, 1729802953325796000, 
0.13243468105793, -0.00047221375280059874, -0.0026960425952037436, 1729802953424808140, 
0.16607479751110077, -0.0005086218006908894, -0.0012876978867358343, 1729802953535455356, 
0.19048842787742615, -0.0005189427174627781, -0.000600567222359083, 1729802953615960841, 
0.22474350035190582, -0.0006977763841859996, -0.0008513868988051921, 1729802953725810590, 
0.25500479340553284, -0.000768066558521241, -0.00041006862471943686, 1729802953825800991, 
0.2785906493663788, -0.0007635522051714361, -0.00016854907898764896, 1729802953935417166, 
0.28781285881996155, -0.0007743748719803989, 5.2467254888853375e-05, 1729802954015648427, 
0.291141152381897, -0.0008431637543253601, -0.00023912195659121343, 1729802954126052233, 
0.29065704345703125, -0.0008397653000429273, -0.0011548952593129211, 1729802954225794624, 
0.29066693782806396, -0.0008299103938043118, -0.001154894560814366, 1729802954315989500, 
0.2907131016254425, -0.0008133286028169096, -0.0014183497210987692, 1729802954435804841, 
0.2907131016254425, -0.0008133286028169096, -0.0014183497210987692, 1729802954525820347, 
0.2907131016254425, -0.0008133286028169096, -0.0014183497210987692, 1729802954625827611, 
0.29301339387893677, -0.0007058013579808176, -0.0017368806384090835, 1729802954715505354, 
0.3094676733016968, -0.000847174203954637, -0.0019428799098429052, 1729802954836873891, 
0.32994383573532104, -0.0010806878563016653, -0.001271960275598192, 1729802954925931839, 
0.3613942861557007, -0.0012719440273940563, -0.002233043604669582, 1729802955025929663, 
0.3905660808086395, -0.0012799625983461738, -0.0029735844021440225, 1729802955116120041, 
0.4266864061355591, -0.0014525926671922207, -0.005247880032970945, 1729802955235544014, 
0.4541563093662262, -0.0016204463317990303, -0.004457750596554538, 1729802955325811190, 
0.48504355549812317, -0.0018796826479956508, -0.003498337494569434, 1729802955425823828, 
0.5186259150505066, -0.002040022285655141, -0.003410117989129268, 1729802955535720959, 
0.5492373108863831, -0.0021723338868469, -0.0043548076056479776, 1729802955635840559, 
0.5770934820175171, -0.0021594068966805935, -0.005455936138049087, 1729802955725831981, 
0.6081053018569946, -0.0022867792285978794, -0.005645022726538896, 1729802955825809701, 
0.6417664885520935, -0.0024376383516937494, -0.0045214645760187095, 1729802955935319556, 
0.672117292881012, -0.002782004652544856, -0.004487114068462694, 1729802956036153047, 
0.6996666193008423, -0.002893276745453477, -0.004808526218722207, 1729802956126098268, 
0.7281831502914429, -0.0032751441467553377, -0.004992600728770714, 1729802956225837084, 
0.7437565326690674, -0.0031887092627584934, -0.006252033030313584, 1729802956315463974, 
0.75269615650177, -0.003031250089406967, -0.00599332381162631, 1729802956435667664, 
0.7523564100265503, -0.0030503442976623774, -0.005589394808948971, 1729802956525971653, 
0.7553348541259766, -0.003056512912735343, -0.0028667130960465656, 1729802956625829211, 
0.7710671424865723, -0.0030930277425795794, -0.003502989518746239, 1729802956736033345, 
0.7948249578475952, -0.0034485100768506527, -0.003380187173809464, 1729802956835483403, 
0.8232600092887878, -0.0035140356048941612, -0.0030215518031426686, 1729802956925441610, 
0.8550777435302734, -0.003427164861932397, -0.0015393446085117096, 1729802957025638796, 
0.880264937877655, -0.003322022035717964, 0.0004767272826513821, 1729802957115901135, 
0.8997567296028137, -0.0034784411545842886, 0.0015320999739190555, 1729802957235243624, 
0.9130823016166687, -0.0032736058346927166, 0.004501328384506654, 1729802957326955095, 
0.9361634254455566, -0.003087761579081416, 0.003914344892433973, 1729802957425894351, 
0.9631712436676025, -0.0029442484956234694, 0.004075058303779946, 1729802957535963649, 
