x, y, th, stamp, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987017773437338, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987017821478626, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987017869516328, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987017918447000, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987017965746036, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018029628589, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018077572218, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018125438841, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018173384253, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018221367256, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018269507108, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018333348524, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018365487656, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018429703920, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018477449811, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018525442936, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018573380794, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018621371890, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018669412177, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018733774281, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018766625206, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018829488542, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018877454654, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018926828752, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987018973772864, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987019021376813, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987019069470589, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987019116895372, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987019181587026, 
-1.373320460319519, -3.2577905654907227, -1.2893273691676153, 1727987019229757029, 
-1.3728076219558716, -3.2596757411956787, -1.2874125673256869, 1727987019277453995, 
-1.371519684791565, -3.263803720474243, -1.283204861153392, 1727987019326443575, 
-1.369486927986145, -3.270026445388794, -1.2763598072902407, 1727987019373384149, 
-1.3671339750289917, -3.277731418609619, -1.2686185711352371, 1727987019421433573, 
-1.3639494180679321, -3.2870352268218994, -1.2593622699854727, 1727987019469476082, 
-1.3603003025054932, -3.2976162433624268, -1.2475617242953958, 1727987019517011867, 
-1.3556541204452515, -3.310155153274536, -1.2338629741964422, 1727987019565183814, 
-1.3483933210372925, -3.3299622535705566, -1.2121382673335666, 1727987019629743176, 
-1.3418692350387573, -3.3465914726257324, -1.1951038684096318, 1727987019677459975, 
-1.334702491760254, -3.3644063472747803, -1.1779142791528052, 1727987019725447280, 
-1.3267685174942017, -3.382852792739868, -1.1630138819776707, 1727987019773387194, 
-1.3186757564544678, -3.400846242904663, -1.1466053771426765, 1727987019821577540, 
-1.3104963302612305, -3.418522834777832, -1.1275729517208084, 1727987019869519579, 
-1.302230954170227, -3.435676336288452, -1.1061952520022105, 1727987019917367663, 
