e, e_dot, e_int, stamp, 
-2.356151165301714, 3.450562394036183e-05, -0.08713801760566764, 1731623085417419351, 
-2.356156392489086, 1.7081666034239145e-05, -0.1576017814393099, 1731623085447325612, 
-2.3561771422313575, -8.658976547781805e-05, -0.14131349012243172, 1731623085477395497, 
-2.355316385754317, 0.002800022449229722, -0.1451859286702504, 1731623085508952573, 
-2.343741507456537, 0.041452115916068934, -0.147134069293958, 1731623085539959282, 
-2.3156755603715413, 0.13213608460925266, -0.27594522216912926, 1731623085626966418, 
-2.2744499131266833, 0.2309719810995118, -0.48024679440809614, 1731623085747742383, 
-2.2214119573708677, 0.31421201000224536, -0.498621484774233, 1731623085846573881, 
-2.2214119573708677, 0.17679318585271867, -0.22129274496147666, 1731623085846573881, 
-2.136920750195522, 0.28163735725115213, -0.19738958742159954, 1731623085936572626, 
-2.0251575706810847, 0.6541812889659434, -0.4461413035651498, 1731623086056243490, 
-1.9002667950903203, 0.7888465170173394, -0.4288002003458072, 1731623086148767837, 
-1.7729401994041758, 0.8407245709230297, -0.3412991123035597, 1731623086235926156, 
-1.6470284582073318, 0.8441277896099616, -0.31211818864377233, 1731623086324766545, 
-1.5348769598740633, 0.7935441317670419, -0.3630399016424988, 1731623086455735165, 
-1.4182709518384078, 0.7625250212297466, -0.34408227165129907, 1731623086549159423, 
-1.3007710128855567, 0.780353156628355, -0.2841836010953396, 1731623086656150551, 
-1.1844320738894096, 0.7794629264966605, -0.25506842151355646, 1731623086745191280, 
-1.0661014990013231, 0.7822317129474454, -0.2134308084177346, 1731623086836448357, 
-0.9691222724790969, 0.7176993380343758, -0.2171633430514084, 1731623086947539003, 
-0.8956117147545857, 0.5682992808224582, -0.20396714728160883, 1731623087045228906, 
-0.8348027920715313, 0.44773160135855194, -0.16832234242164756, 1731623087134595920, 
-0.7805740855911418, 0.38345876387814615, -0.17516192808509018, 1731623087254503367, 
-0.7312253435308851, 0.345258161802154, -0.16401970219545317, 1731623087344285957, 
-0.6896225652772305, 0.3031717343797043, -0.12450457332954598, 1731623087424172663, 
-0.6492514332820853, 0.2732463674959991, -0.11711664242580773, 1731623087514012076, 
-0.6088674010133697, 0.2691838808795362, -0.1171805576054596, 1731623087604659494, 
-0.569217527614164, 0.2667796855597378, -0.1337354718747719, 1731623087733570130, 
-0.536384869078844, 0.2416084397817523, -0.13075583760089468, 1731623087833457641, 
-0.5053930011844301, 0.21274842143244635, -0.10266693776186817, 1731623087924756780, 
-0.47092907036362286, 0.2181859957174037, -0.10574605198024384, 1731623088043173183, 
-0.4392551667122242, 0.2204594482406863, -0.09823243050455971, 1731623088132938491, 
-0.409297987115929, 0.20543694415897948, -0.09215188071492954, 1731623088252691460, 
-0.37881044809820086, 0.2014823953800778, -0.08585501716020713, 1731623088342790772, 
-0.34657350817599797, 0.20908159646643684, -0.0680175328918226, 1731623088432523879, 
-0.3185637797189198, 0.20082222793093685, -0.06244791309919815, 1731623088522247782, 
-0.29387474879898035, 0.1756625312567254, -0.06797583063146928, 1731623088645167187, 
-0.2699075515110456, 0.1621874273595806, -0.06460202735873065, 1731623088741896383, 
-0.24405993460486064, 0.16604938064706568, -0.05026119073006765, 1731623088831816963, 
-0.22684976139852786, 0.14352596704172585, -0.05178033272023582, 1731623088951585073, 
-0.21301109512573957, 0.10349613159707023, -0.048500176106658174, 1731623089044561670, 
-0.201392166331138, 0.0848586502246329, -0.03845247716679711, 1731623089131478855, 
-0.18948912273909402, 0.07840657462215184, -0.041870025560883734, 1731623089252562433, 
-0.17649036637192106, 0.08300599986405643, -0.03969824580070227, 1731623089341384895, 
-0.16622530378117162, 0.07754606319307467, -0.031715186868981074, 1731623089431338652, 
-0.15729954507069932, 0.06396940433740579, -0.03498044377150265, 1731623089551261171, 
-0.14899350456205118, 0.05743933073040145, -0.03303489622637455, 1731623089641075878, 
-0.14016430338755903, 0.0571174722771343, -0.027043655615161043, 1731623089732982821, 
-0.13080419066985183, 0.06063104630733118, -0.02926523581715261, 1731623089850132192, 
-0.12347442430765954, 0.05563293026633165, -0.02734405149801117, 1731623089940952468, 
-0.11677655634546058, 0.04675878108130416, -0.022248743271777463, 1731623090030014417, 
-0.11071581624226834, 0.04252869355130399, -0.0244160976686775, 1731623090149656806, 
-0.10140752661854302, 0.0512300990897252, -0.022999378918375727, 1731623090239799026, 
-0.09315080931375341, 0.05855002309504975, -0.01828425247619234, 1731623090329340402, 
-0.08617906678679077, 0.0507615327725075, -0.016928995977652097, 1731623090420704696, 
-0.08125233562343404, 0.03966157896773126, -0.01907914169225147, 1731623090548992483, 
-0.07729139199506951, 0.029625582639070853, -0.01780467345145997, 1731623090638968060, 
-0.07220479432313187, 0.030158471001007214, -0.013846556630375742, 1731623090729013874, 
-0.06756505130466373, 0.03242113563468596, -0.015169352519819837, 1731623090848623446, 
-0.06428576835380051, 0.026396753231104537, -0.014244751643004622, 1731623090938438423, 
-0.05965273217814859, 0.026374397088383777, -0.011492035394161531, 1731623091028651993, 
-0.05619732830039936, 0.02696146684467049, -0.010783181102706456, 1731623091118022593, 
-0.052252339385436386, 0.024667975975707357, -0.011666080620935097, 1731623091236847961, 
-0.04951167053536043, 0.02228552588346311, -0.011567458039694849, 1731623091337711629, 
-0.048589016442344146, 0.012211076476974133, -0.00957224416741999, 1731623091427843335, 
-0.04758517805929152, 0.006421641586896361, -0.009822228383751345, 1731623091539973428, 
-0.046199359172631294, 0.007965524232376175, -0.009942474692862326, 1731623091637344491, 
-0.04598983578903093, 0.005317807567535304, -0.008731766583343108, 1731623091727384748, 
-0.04540258413813669, 0.0026559167816486706, -0.009610532784703116, 1731623091846888975, 
-0.04546314500091331, 0.0017556359603920768, -0.009566895474023918, 1731623091937099906, 
-0.04411762359550808, 0.004283201808762034, -0.008087173472762374, 1731623092026626105, 
-0.04396822909920273, 0.004983053005701936, -0.008010397667533645, 1731623092117042799, 
-0.04219615095871099, 0.006404908789323649, -0.008818036144737681, 1731623092229678773, 
-0.04175428609525289, 0.0073798100131661215, -0.008915615071770314, 1731623092326135389, 
-0.04100181399656844, 0.0039811232071418345, -0.008175818171052196, 1731623092425973392, 
-0.03957234230309492, 0.0072731459738599, -0.007771013633832279, 1731623092516712825, 
-0.03660159041182087, 0.014667411949158549, -0.008189006923703277, 1731623092635632997, 
-0.03481062942583746, 0.015872376257524873, -0.0077234985848429385, 1731623092725485066, 
-0.033429160870354746, 0.010574765138220421, -0.006633805304317479, 1731623092825457051, 
-0.03189640075684208, 0.009714095563317926, -0.006383558945358479, 1731623092916731374, 
-0.031019392339383334, 0.008032561769904708, -0.007062232854679741, 1731623093045361651, 
-0.030757357820862197, 0.003796809786599612, -0.006821466289757305, 1731623093135197377, 
-0.030456114862198902, 0.0018775915906147727, -0.006436178630062066, 1731623093254707158, 
-0.030259784513866794, 0.001658577689984675, -0.006383145091419655, 1731623093344542008, 
-0.029375467582818615, 0.0036021575979342892, -0.00539583109996941, 1731623093434385787, 
-0.028174804014438948, 0.0069499349980928216, -0.005274608520784789, 1731623093524747172, 
-0.026611213295933744, 0.009214180956282902, -0.005016485283763992, 1731623093613202212, 
-0.025510656226165107, 0.00888049262757947, -0.005570010603124002, 1731623093732850834, 
-0.023252333165594052, 0.011196267101132307, -0.005540625181973449, 1731623093833726940, 
-0.022001111752586677, 0.011698481578594766, -0.004532934918365776, 1731623093925021787, 
-0.021864051905798654, 0.004627604199317996, -0.004541165942295629, 1731623094036706766, 
-0.02191471816452717, 0.0002879786268650264, -0.004564675859441541, 1731623094133201358, 
-0.020402618563079233, 0.004871444475731401, -0.00396511763225328, 1731623094222046366, 
-0.018576841985047388, 0.011126253931599273, -0.0036510270970693927, 1731623094313072103, 
-0.01605861868387981, 0.014479999597331409, -0.0033627769416900463, 1731623094405343657, 
-0.014233226187621018, 0.014478719324754566, -0.003074765015121771, 1731623094501828864, 
-0.014066751928573318, 0.006639555851021643, -0.003356987498998941, 1731623094632378848, 
-0.011921091273162876, 0.007707116381527139, -0.0030891553163203173, 1731623094732242080, 
-0.00905055291596657, 0.016720663375355826, -0.0022178791430002725, 1731623094822274453, 
-0.007125124418967399, 0.01598655618065159, -0.0019648699280635363, 1731623094942038796, 
-0.005290786207447606, 0.012532555695063211, -0.0015007472563943968, 1731623095032008197, 
-0.004336826443587238, 0.009294326584600535, -0.001022323382671455, 1731623095125111576, 
-0.004021937214830906, 0.0042294966420556674, -0.0009545271266548534, 1731623095241801297, 
-0.0038780772041167033, 0.00152916413156845, -0.0008435971589326551, 1731623095331928965, 
-0.002926729307419773, 0.003650693024703777, -0.0007293974072608879, 1731623095443911209, 
-0.0017518180626971969, 0.007087530471398355, -0.0006025094199918445, 1731623095543172107, 
-0.00047323889469774727, 0.008178301375740086, -0.0003218723749315662, 1731623095631344669, 
0.0003301430795814575, 0.0069398704742621815, -0.00013057503562660975, 1731623095749896598, 
0.0002878024423851322, 0.0025368044569429316, 1.0098297188379976e-05, 1731623095840698533, 
-0.0017988803250932328, -0.007096744682248968, -7.113894214883907e-05, 1731623095930615149, 
-0.003029779851957848, -0.011058607647809934, -0.0003217109960503198, 1731623096053242736, 
-0.0036005991508121227, -0.006005729419062966, -0.0005892379606413611, 1731623096140326799, 
-0.0037702294100872003, -0.002468165193764508, -0.0007197096907770103, 1731623096260839156, 
-0.004466672625707879, -0.002886911582985855, -0.000826600933492934, 1731623096349813815, 
-0.005991399445206991, -0.007403900117065969, -0.0008001935144370152, 1731623096429557857, 
-0.0065832777403103115, -0.007055350382008108, -0.0009633011637179727, 1731623096519395657, 
-0.006379366775033368, -0.0012932244327545916, -0.0011520385434295253, 1731623096611899717, 
-0.006160273675021699, 0.0014100135509620415, -0.001417234283547697, 1731623096741731119, 
-0.006345997645806012, 0.0001112304307578545, -0.0014222933696587017, 1731623096837832253, 
-0.006659943242138144, -0.0016655652237214842, -0.0013856290269294161, 1731623096958617300, 
-0.007191285058318897, -0.0028176247083762838, -0.0014185643297982137, 1731623097048539060, 
-0.007313106976754469, -0.002177212448721081, -0.0012859875164833866, 1731623097140903325, 
-0.006914130965300469, 0.0009238469767280932, -0.001233364849590694, 1731623097221291147, 
-0.006890813669251816, 0.001407644358342175, -0.0012473073928997195, 1731623097318094017, 
-0.006357800959107873, 0.0018544333539753193, -0.001448815799909455, 1731623097436859378, 
-0.005993489733401969, 0.0029910797861661584, -0.0013389721265390183, 1731623097526850622, 
-0.005826038220706042, 0.0017725424613394363, -0.0011106627775657977, 1731623097620163996, 
-0.006116628883128694, -0.00041046383242241785, -0.0011361251756510523, 1731623097716878818, 
-0.0049869073041879375, 0.0027971030550603495, -0.0011120729366807783, 1731623097817228537, 
-0.003387449488645, 0.00909726464827898, -0.0010753254638124466, 1731623097939498346, 
-0.001980727478706701, 0.01002059941827079, -0.0007582484846259803, 1731623098036902795, 
-0.0008506185736329996, 0.008456103050040001, -0.0004502641881302538, 1731623098156709630, 
-5.538506326985271e-05, 0.00641780805145616, -0.00020177974526616128, 1731623098246599927, 
3.6362049435023636e-05, 0.002956602076893411, -5.213850622907266e-05, 1731623098336571680, 
0.00012480020455463148, 0.0006006175594149473, 7.3542913710235985e-06, 1731623098455178676, 
0.0003097273490668684, 0.0009112176654394825, 3.3374658806655824e-05, 1731623098549198962, 
0.001093159862818549, 0.003227865527546392, 8.871700941306885e-05, 1731623098629396926, 
0.0015226226495426154, 0.004042984334919157, 0.00016264811681224325, 1731623098715988470, 
0.0018635611761412818, 0.0025680043777424424, 0.00031017191779825096, 1731623098837131768, 
0.0020835645415719917, 0.0018698063067645876, 0.00040103872860541346, 1731623098935946703, 
0.0022298287980158094, 0.0012208920729150918, 0.00039168345311800426, 1731623099027363112, 
0.0031318105717228484, 0.003494153433836189, 0.0005483515005380556, 1731623099156901632, 
0.004635065238220992, 0.008017454800683943, 0.0006994204975465854, 1731623099237258430, 
0.008485330154198056, 0.01784506527491736, 0.0009635362572058429, 1731623099334761104, 
0.010846228835093452, 0.020703878656241532, 0.0014981293223827166, 1731623099424785381, 
0.010283936613774358, 0.005995354865254339, 0.0019717444544809937, 1731623099534495508, 
0.00990177609906251, -0.00314817578676981, 0.002064165506533592, 1731623099624337720, 
0.009746766862293477, -0.001790565838269605, 0.0020965329793372475, 1731623099744621733, 
0.01111528992229216, 0.004045046077432168, 0.0021501793199725575, 1731623099834016988, 
0.01212660187191883, 0.007932783365417842, 0.001984959799288942, 1731623099925134662, 
0.012121747304881136, 0.0033548579419632554, 0.002396641527294618, 1731623100037331035, 
0.012145107950645162, 6.168692908777491e-05, 0.0025280674718153873, 1731623100133529330, 
0.010658741714915543, -0.004876685299885312, 0.0025141090975546562, 1731623100253285176, 
0.00924346767288986, -0.00967213425918434, 0.002241012925496897, 1731623100343314090, 
0.008593651313228534, -0.006883634672290029, 0.0017315207413901232, 1731623100435576993, 
0.00831364235986376, -0.003099417710087001, 0.0015658666460220641, 1731623100522949393, 
0.007494250118763368, -0.00366467064821722, 0.0017051808643704734, 1731623100645217114, 
0.006456493344817904, -0.00619049671681952, 0.0015561576399632144, 1731623100732632829, 
0.005316701865885509, -0.007258494176259529, 0.0011381719896117718, 1731623100822433964, 
0.004815040446125796, -0.005471509662307028, 0.0011595819407667083, 1731623100942344452, 
0.0046656849295834135, -0.002170056454340319, 0.0010340387455270352, 1731623101032072855, 
0.004079558134438166, -0.0024516077056254324, 0.0006821738286348626, 1731623101093264710, 
0.0037327502723285555, -0.003109782190849527, 0.0007899520189068753, 1731623101221995705, 
0.0030469759789464312, -0.0034419405183057825, 0.0008272973798190894, 1731623101321814958, 
0.002255059140639837, -0.004925637105629062, 0.0005758850962019174, 1731623101413218320, 
0.00180787503292823, -0.004130336486727337, 0.0005213526571794023, 1731623101541797762, 
0.0016637682401934306, -0.0019709696681546873, 0.00043614854781679456, 1731623101641699835, 
0.001732825727245313, -0.0002501643522763904, 0.00033193792230576635, 1731623101733135969, 
0.0018387058429998326, 0.0005831253426880068, 0.00036478619221240395, 1731623101850734392, 
0.0018460003017879423, 0.0003772485818087645, 0.0003760870525965779, 1731623101941397071, 
0.001793736542106128, -0.00014989766964568219, 0.00038296437095314793, 1731623102060446016, 
0.0017760450577068987, -0.00023318414693681197, 0.00037709679767209726, 1731623102150284802, 
0.0016889241712876313, -0.000349374569394989, 0.000352106031693846, 1731623102261316371, 
